title,current_bid,bid_count,qty,condition,number_of_packages,location,closing,seller,url,search_keyword
"Lost Mail, Undelivered Post, Wholesale Packages Mercha",$155.00,8,40,New,1,New Jersey,Today 1:05PM,surplusandreturns,https://www.liquidation.com/auction/view?id=21084240,unclaimed packages
"Packages Merchandise Returns, Lost Mail, Undelivered Post",$100.00,0,40,Returns,1,New Jersey,Today 8:05PM,surplusandreturns,https://www.liquidation.com/auction/view?id=21084243,unclaimed packages
"Wholesale Packages Merchandise Returns , Lost Mail , Undelivered Post",$140.00,6,40,Returns,1,New Jersey,Today 5:05PM,surplusandreturns,https://www.liquidation.com/auction/view?id=21084241,unclaimed packages
"Available Now - Lost Mail, Undelivered Post, Wholesale Packages Mercha",$100.00,0,40,Returns,1,New Jersey,Apr 21 1:05PM,surplusandreturns,https://www.liquidation.com/auction/view?id=21084628,unclaimed packages
"Available Now - Lost Mail, Undelivered Post, Wholesale Packages Mercha",$100.00,0,40,Returns,1,New Jersey,Apr 21 5:05PM,surplusandreturns,https://www.liquidation.com/auction/view?id=21084814,unclaimed packages
"Packages Merchandise Returns, Lost Mail, Undelivered Post",$100.00,0,40,Returns,1,New Jersey,Today 9:05PM,surplusandreturns,https://www.liquidation.com/auction/view?id=21084244,unclaimed packages
"Available Now - Lost Mail, Undelivered Post, Wholesale Packages Mercha",$100.00,0,40,Returns,1,New Jersey,Today 7:05PM,surplusandreturns,https://www.liquidation.com/auction/view?id=21084242,unclaimed packages
"Available Now - Lost Mail, Undelivered Post, Wholesale Packages Mercha",$100.00,0,40,Returns,1,New Jersey,Apr 21 3:05PM,surplusandreturns,https://www.liquidation.com/auction/view?id=21084813,unclaimed packages
"Packages Merchandise Returns, Lost Mail, Undelivered Post",$100.00,0,40,Returns,1,New Jersey,Apr 21 7:05PM,surplusandreturns,https://www.liquidation.com/auction/view?id=21084815,unclaimed packages
"Packages Merchandise Returns, Lost Mail, Undelivered Post",$100.00,1,40,New,1,New Jersey,Apr 21 9:05PM,surplusandreturns,https://www.liquidation.com/auction/view?id=21084817,unclaimed packages
